"Kod";"Nazwa";"Rodzaje obiektów";"Rodzaje placówek";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"restauracje";"2021";77;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"restauracje";"2022";71;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"bary i kawiarnie";"2019";57;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"bary i kawiarnie";"2020";46;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"bary i kawiarnie";"2021";52;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"bary i kawiarnie";"2022";54;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"stołówki";"2019";217;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"stołówki";"2020";177;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"stołówki";"2021";187;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"stołówki";"2022";181;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"punkty gastronomiczne";"2019";20;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"punkty gastronomiczne";"2020";15;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"punkty gastronomiczne";"2021";16;"ob.";""
0000000;"POLSKA";"pokoje gościnne i kwatery agroturystyczne";"punkty gastronomiczne";"2022";22;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"restauracje";"2019";65;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"restauracje";"2020";56;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"restauracje";"2021";49;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"restauracje";"2022";48;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"bary i kawiarnie";"2019";44;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"bary i kawiarnie";"2020";33;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"bary i kawiarnie";"2021";34;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"bary i kawiarnie";"2022";34;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"stołówki";"2019";97;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"stołówki";"2020";82;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"stołówki";"2021";90;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"stołówki";"2022";85;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"punkty gastronomiczne";"2019";25;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"punkty gastronomiczne";"2020";17;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"punkty gastronomiczne";"2021";21;"ob.";""
0000000;"POLSKA";"pozostałe obiekty niesklasyfikowane";"punkty gastronomiczne";"2022";18;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"restauracje";"2019";330;"ob.";""
