"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2011";43.7;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2012";43.6;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2013";44.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2014";45.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2015";48.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2016";50.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2017";51.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2018";52.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2019";53.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2020";30.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2021";37.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"ogółem";"2022";51.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2002";51.30;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2003";49.50;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2004";50.61;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2005";52.05;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2006";63.88;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2007";63.72;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2008";60.34;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2009";55.41;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2010";58.81;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2011";60.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2012";63.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2013";66.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2014";65.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2015";67.1;"%";""
